PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^conc^FLOAT^uM^^^,2^giprct^FLOAT^^^^,3^nbrtest^INT^^^^,4^range^FLOAT^^^^
413654,273351,Inactive,258,,,50,0.15,2,20.5
413655,273352,Inactive,249,,,50,-9.3,2,15.2
413659,273355,Inactive,249,,,50,-9.1,2,4.8
413664,273360,Inactive,265,,,50,7.8,2,11.8
413666,273361,Inactive,261,,,50,3.25,2,1.9
413667,273362,Inactive,259,,,50,1.55,2,12.5
413668,273363,Inactive,281,,,50,23.15,2,5.1
413670,273365,Inactive,258,,,50,0.3,2,22.4
413675,273369,Inactive,270,,,50,12,2,27.4
413679,273373,Inactive,249,,,50,-9.1,2,6.2
413680,9603246,Inactive,260,,,50,2.9,2,12.2
413681,9603235,Inactive,245,,,50,-13.1,2,35
413682,273377,Inactive,261,,,50,3.55,2,8.5
413685,49791503,Active,355,,,50,97.9,2,0.2
413702,273397,Inactive,268,,,50,10,2,7.8
413707,273402,Inactive,260,,,50,2.5,2,4.6
413708,273403,Inactive,255,,,50,-3.75,2,29.3
413711,273406,Inactive,261,,,50,3.15,2,10.5
413714,273409,Inactive,258,,,50,0.25,2,6.5
413718,273413,Inactive,269,,,50,11.25,2,8.3
413733,273426,Inactive,274,,,50,16.95,2,10.9
413735,54723760,Inactive,256,,,50,-2.9,2,1.8
413736,273429,Active,357,,,50,99.1,2,0.2
413740,273433,Inactive,267,,,50,9.25,2,7.3
413741,54610247,Inactive,287,,,50,29.15,2,21.1
413742,273435,Inactive,261,,,50,3.6,2,3.2
413744,273437,Inactive,270,,,50,12.05,2,10.5
413746,273439,Inactive,259,,,50,1.55,2,19.7
413747,273440,Inactive,258,,,50,0.35,2,27.5
413748,273441,Inactive,288,,,50,30.25,2,15.3
413749,273442,Inactive,285,,,50,27.8,2,13.4
413751,6377466,Inactive,247,,,50,-11.6,2,15.8
413757,273450,Inactive,250,,,50,-8.25,2,2.5
413758,273452,Inactive,244,,,50,-14.25,2,0.5
413760,273454,Inactive,258,,,50,0.75,2,7.3
413762,273456,Inactive,280,,,50,22.25,2,12.1
413765,273459,Inactive,265,,,50,7.25,2,3.9
413767,273458,Inactive,273,,,50,15.85,2,6.1
413768,273459,Inactive,262,,,50,4.15,2,15.5
413769,273461,Inactive,278,,,50,20.75,2,29.9
413770,273462,Inactive,266,,,50,8.4,2,4.4
413776,5286124,Inactive,254,,,50,-4.75,2,27.7
413796,273485,Inactive,263,,,50,5.6,2,22.4
413797,273486,Inactive,269,,,50,11.6,2,39
413798,273487,Inactive,280,,,50,22.4,2,19.4
413799,273488,Inactive,265,,,50,7.5,2,15.2
413801,273490,Inactive,265,,,50,7.85,2,31.7
413803,9568513,Inactive,259,,,50,1.2,2,1.2
413807,273497,Inactive,275,,,50,17.85,2,6.5
413808,273498,Inactive,264,,,50,6.25,2,9.9
413809,273499,Inactive,260,,,50,2.95,2,16.1
413810,6508739,Inactive,297,,,50,39.3,2,4.6
413811,273501,Inactive,259,,,50,1.45,2,23.5
413812,273502,Inactive,258,,,50,-0.6,2,6
413813,9562343,Inactive,273,,,50,15.9,2,24.6
413814,54606569,Inactive,283,,,50,25.65,2,32.3
413817,273507,Inactive,298,,,50,40.95,2,5.9
413821,273511,Inactive,256,,,50,-2.9,2,6.8
413822,273512,Inactive,265,,,50,7.85,2,10.1
413823,273514,Inactive,262,,,50,4,2,6.4
413827,273518,Inactive,268,,,50,10.6,2,1.2
413830,5381483,Inactive,270,,,50,12.85,2,7.5
413831,6255610,Inactive,273,,,50,15.8,2,4
413833,273525,Inactive,260,,,50,2.15,2,18.3
413834,5381485,Inactive,258,,,50,-0.65,2,22.9
413836,273527,Inactive,264,,,50,6.65,2,11.9
413837,273528,Inactive,264,,,50,6.6,2,21.8
413839,273530,Inactive,244,,,50,-14.1,2,18.8
413843,54694618,Inactive,275,,,50,17.6,2,14
413851,273542,Inactive,249,,,50,-9.6,2,6.6
413853,273544,Active,347,,,50,89.6,2,2
413856,273548,Inactive,305,,,50,47,2,17.2
413858,273550,Inactive,262,,,50,4.7,2,2.2
413859,273551,Inactive,260,,,50,2.5,2,20
413860,54704354,Inactive,273,,,50,15.15,2,15.5
413861,273553,Inactive,258,,,50,0.8,2,12
413865,273556,Inactive,267,,,50,9.7,2,14
413867,273557,Inactive,234,,,50,-24,2,10.2
413871,6113102,Inactive,274,,,50,16.45,2,9.1
413872,273559,Inactive,242,,,50,-16.1,2,17.2
413874,54604243,Inactive,274,,,50,16.2,2,2
413875,6376474,Inactive,246,,,50,-12.45,2,33.9
413879,273564,Inactive,235,,,50,-23.55,2,21.7
413881,273566,Inactive,258,,,50,-0.6,2,7.6
413883,273568,Inactive,254,,,50,-4.15,2,13.7
413887,273570,Inactive,263,,,50,5.05,2,3.9
413891,273574,Inactive,281,,,50,23.45,2,30.5
413892,273571,Inactive,247,,,50,-11.5,2,10.4
413926,3995665,Inactive,239,,,50,-19.5,2,21
413937,2346,Inactive,259,,,50,1.9,2,36
413940,273610,Inactive,259,,,50,1.15,2,6.7
413943,273613,Inactive,244,,,50,-14.1,2,5
413951,54606571,Inactive,264,,,50,6.3,2,12
413952,273623,Inactive,261,,,50,3.35,2,15.1
413954,273625,Active,329,,,50,71.75,2,22.9
413955,273626,Inactive,250,,,50,-8.55,2,33.3
413957,273628,Inactive,267,,,50,9.1,2,22.6
413962,273633,Inactive,278,,,50,20.3,2,33.4
413965,273636,Inactive,250,,,50,-8.8,2,18.8
413966,273637,Inactive,277,,,50,19.15,2,8.9
413968,273639,Inactive,266,,,50,8.5,2,13.8
413971,273136,Inactive,255,,,50,-3.45,2,7.3
413974,273644,Inactive,276,,,50,18.35,2,19.3
413977,273647,Inactive,302,,,50,44.15,2,11.3
413978,273648,Inactive,241,,,50,-17.35,2,55.7
413979,273649,Inactive,299,,,50,41.7,2,8.8
413980,273650,Inactive,239,,,50,-19.3,2,31.2
413981,273651,Inactive,235,,,50,-23.85,2,39.5
413984,273654,Inactive,254,,,50,-4.7,2,18.8
413985,54601549,Inactive,239,,,50,-19.3,2,16
413986,5993636,Active,357,,,5,99,2,0
413988,273656,Inactive,251,,,50,-7.55,2,0.1
413989,273657,Inactive,252,,,50,-6.8,2,25.2
413990,273658,Inactive,257,,,50,-1.65,2,29.1
413991,273659,Inactive,247,,,50,-11.55,2,35.3
413992,273660,Inactive,245,,,50,-13.8,2,2.6
413994,273662,Inactive,251,,,50,-7.1,2,10.8
413995,273663,Inactive,250,,,50,-8.45,2,10.7
413996,273664,Inactive,269,,,50,11.55,2,4.3
413998,273666,Inactive,262,,,50,4.85,2,1.3
414000,273668,Inactive,303,,,50,45.25,2,3.1
414001,273670,Inactive,257,,,50,-1.15,2,31.1
414004,273673,Inactive,249,,,50,-9.5,2,45.2
414006,273675,Inactive,257,,,50,-1.8,2,24
414008,273677,Inactive,264,,,50,6.6,2,21.6
414009,273678,Inactive,292,,,50,34.05,2,7.9
414010,273679,Inactive,254,,,50,-4,2,21.8
414011,273680,Inactive,257,,,0.5,-1,2,1
414012,5381492,Active,351,,,5,93,2,1
414013,273682,Inactive,310,,,5,52,2,2
414015,273684,Inactive,260,,,50,2.35,2,49.9
414016,273685,Inactive,275,,,50,17.9,2,9.8
414018,273687,Inactive,286,,,50,28.85,2,3.1
414021,273690,Inactive,279,,,50,21.95,2,22.5
414023,273692,Inactive,309,,,50,51.7,2,9.6
414024,273693,Inactive,290,,,50,32.5,2,7.2
414026,273695,Inactive,256,,,50,-2,2,2.4
414027,273696,Inactive,261,,,50,3.4,2,2.6
414028,273697,Inactive,293,,,50,35.45,2,22.5
414035,273704,Active,341,,,50,83.8,2,24.8
414039,273708,Inactive,288,,,5,30,2,4
414048,273714,Inactive,265,,,50,7.1,2,10.6
414050,273716,Inactive,245,,,50,-13.9,2,31.6
414052,5381497,Inactive,274,,,50,16.5,2,14.4
414054,273721,Inactive,243,,,50,-15.6,2,37
414055,273722,Inactive,278,,,50,20,2,10.8
414057,273724,Inactive,321,,,50,63.15,2,1.1
414058,273725,Inactive,273,,,50,15.8,2,26.6
414059,273726,Inactive,285,,,0.5,27,2,8
414060,273727,Inactive,245,,,50,-13.25,2,45.5
414075,5425,Inactive,258,,,50,0.55,2,6.9
414080,273733,Inactive,277,,,50,19.1,2,21.8
414084,273737,Inactive,235,,,50,-23.5,2,36.4
414086,6058870,Inactive,298,,,50,40.55,2,4.3
414093,,Inactive,258,,,50,-0.55,2,4.1
414094,,Inactive,269,,,50,11.9,2,12
414095,,Inactive,271,,,50,13.3,2,29
414096,,Active,356,,,5,98,2,1
414105,273749,Inactive,255,,,50,-3.1,2,41
414123,273762,Inactive,248,,,50,-10.4,2,12
414124,273763,Inactive,246,,,50,-12.6,2,26.6
414130,273769,Inactive,277,,,5,19,2,20
414139,79064,Inactive,266,,,50,8.9,2,9.6
414142,,Inactive,266,,,50,8.55,2,20.3
414146,6399638,Inactive,246,,,50,-12.85,2,28.1
414153,5381507,Inactive,259,,,50,1.15,2,16.3
414155,273787,Inactive,259,,,50,1.05,2,7.9
414157,54610293,Inactive,298,,,50,40.85,2,68.3
414159,1551352,Inactive,258,,,50,-0.9,2,4.8
414162,273794,Inactive,254,,,50,-4.4,2,11.4
414163,5884785,Inactive,270,,,50,12.15,2,6.3
414164,273796,Inactive,325,,,50,67.1,2,21.2
414165,273797,Active,356,,,5,98,2,0
414167,5833680,Inactive,249,,,50,-9.7,2,19
414169,97380,Inactive,253,,,50,-5.3,2,9.8
414170,273801,Active,347,,,5,89,2,1
414171,54610294,Inactive,252,,,50,-6.4,2,19.2
414173,5960449,Inactive,290,,,50,32.75,2,1.9
414175,54606587,Active,344,,,50,86.9,2,9.4
414177,273808,Active,356,,,5,98,2,1
414179,273810,Active,355,,,5,97,2,2
414181,273812,Inactive,295,,,50,37.5,2,20.8
414182,273813,Inactive,245,,,50,-13.5,2,39.6
414185,273815,Inactive,261,,,50,3.35,2,8.5
414190,273820,Inactive,267,,,50,9.3,2,10.2
414204,273831,Inactive,271,,,50,13.95,2,22.7
414205,273832,Inactive,268,,,50,10.25,2,3.5
414218,273842,Inactive,276,,,50,18.9,2,7.8
414220,273844,Inactive,259,,,50,1.55,2,22.3
414223,5381513,Inactive,280,,,50,22.95,2,26.9
414225,5381514,Inactive,259,,,50,1.75,2,13.5
414231,273852,Inactive,263,,,50,5.4,2,15
414232,273854,Inactive,279,,,50,21.85,2,10.3
414237,273860,Inactive,290,,,50,32,2,22.2
414239,273863,Inactive,269,,,50,11.3,2,14.8
414246,273871,Inactive,257,,,50,-1.15,2,2.1
414253,247211,Inactive,248,,,50,-10.55,2,6.3
414258,9568517,Inactive,250,,,50,-8.2,2,27.8
414265,273887,Active,356,,,5,98,2,0
414269,273891,Inactive,248,,,50,-10.2,2,27
414275,273898,Inactive,250,,,50,-8.9,2,42.4
414278,273900,Inactive,241,,,50,-17.45,2,29.9
414282,9562349,Active,353,,,5,95,2,2
414284,273906,Inactive,278,,,50,20.9,2,7.8
414287,273908,Inactive,265,,,50,7.75,2,13.9
414295,273916,Inactive,249,,,50,-9.65,2,26.1
414298,273919,Inactive,241,,,50,-17.65,2,28.1
414302,273923,Inactive,247,,,50,-11.25,2,94.5
414303,273924,Inactive,258,,,50,0.05,2,17.3
414304,54606326,Inactive,265,,,50,7,2,7.4
414305,273926,Inactive,276,,,50,18.75,2,9.7
414307,5381523,Inactive,258,,,50,-0.25,2,16.3
414309,273929,Inactive,259,,,50,1.7,2,8.6
414318,273938,Inactive,277,,,50,19.55,2,11.5
414321,273942,Active,357,,,0.5,99,2,0
414322,273943,Inactive,248,,,50,-10.8,2,5.8
414325,273946,Inactive,260,,,50,2.15,2,8.9
414342,273956,Active,349,,,5,91,2,4
414347,54602891,Inactive,272,,,50,14.4,2,9.4
414348,54599129,Inactive,297,,,50,39.2,2,22.6
414350,54602579,Inactive,302,,,50,44.6,2,12.4
414353,54610296,Inactive,251,,,50,-7.8,2,36.2
414356,54599130,Inactive,262,,,50,4.95,2,15.3
414383,54606338,Inactive,252,,,50,-6.35,2,31.1
414384,54600083,Inactive,268,,,50,10.05,2,32.5
414385,54608245,Inactive,268,,,50,10,2,44
414387,54602894,Inactive,262,,,50,4.1,2,9.8
414391,,Inactive,277,,,50,19.85,2,12.9
414392,274004,Inactive,312,,,50,54.35,2,1.3
414395,6535539,Inactive,261,,,50,3.5,2,34.8
414396,9556473,Inactive,249,,,50,-9.25,2,25.7
414399,6512802,Active,343,,,50,85.9,2,7.8
414435,54606339,Inactive,263,,,50,5.15,2,26.7
414450,5790299,Inactive,277,,,50,19.95,2,64.3
414454,274066,Active,331,,,5,73,2,48
414455,274067,Inactive,259,,,50,1.9,2,25.8
414457,9568520,Inactive,256,,,50,-2.75,2,22.9
414459,9562405,Inactive,242,,,50,-16.15,2,6.3
414460,9568521,Inactive,260,,,50,2.8,2,24
414462,9568522,Inactive,254,,,50,-4.35,2,13.7
414463,9568523,Inactive,269,,,50,11.9,2,20.4
414468,274080,Inactive,272,,,50,14.25,2,29.9
414475,274088,Inactive,266,,,50,8.05,2,28.3
414477,274090,Inactive,273,,,50,15.05,2,17.9
414493,274100,Inactive,247,,,50,-11.1,2,15.8
414494,274101,Inactive,231,,,50,-27.7,2,15.4
414495,274102,Inactive,283,,,50,25.25,2,10.1
414496,274103,Active,357,,,5,99,2,0
414497,274104,Inactive,284,,,50,26.65,2,29.1
414498,9568524,Inactive,276,,,50,18.65,2,4.7
414499,274106,Inactive,278,,,50,20.35,2,22.3
414500,274107,Active,351,,,5,93,2,7
414501,274108,Active,354,,,0.5,96,2,0
414502,5381613,Inactive,262,,,50,4.65,2,1.1
414503,274110,Inactive,269,,,50,11.15,2,21.9
414504,9568525,Inactive,273,,,50,15.15,2,12.7
414505,5813917,Inactive,268,,,50,10,2,29.2
414506,274113,Inactive,255,,,50,-3.3,2,7.4
414507,274114,Inactive,268,,,50,10.8,2,12.8
414508,274115,Inactive,275,,,50,17,2,4.8
414509,274116,Inactive,263,,,50,5.95,2,22.3
414510,274117,Inactive,257,,,50,-1.1,2,59
414511,274118,Inactive,262,,,50,4,2,15
414512,274119,Inactive,260,,,50,2.25,2,1.3
414513,274120,Inactive,265,,,50,7.5,2,17.4
414514,6004508,Inactive,270,,,50,12.65,2,2.7
414515,274122,Active,342,,,5,84,2,0
414516,54686376,Inactive,302,,,50,44.75,2,6.7
414517,274124,Inactive,285,,,50,27.15,2,9.1
414518,274125,Inactive,293,,,5,35,2,7
414519,274126,Inactive,252,,,50,-6.55,2,12.5
414520,274127,Inactive,320,,,50,62.2,2,24.8
414521,97383,Inactive,281,,,50,23.6,2,15.8
414522,88072,Inactive,255,,,50,-3.35,2,18.9
414523,70046,Inactive,273,,,50,15.9,2,4.6
414524,2764700,Inactive,271,,,50,13.5,2,11.4
414525,274129,Inactive,269,,,50,11.5,2,4.6
414526,138261,Inactive,275,,,50,17.55,2,3.3
414527,274130,Inactive,287,,,50,29.25,2,3.5
414528,98396,Inactive,269,,,50,11.85,2,23.1
414529,2723870,Inactive,277,,,50,19.1,2,3
414530,97384,Inactive,244,,,50,-14.75,2,17.3
414531,97385,Inactive,243,,,50,-15.9,2,2.2
414532,28561,Inactive,256,,,50,-2.3,2,28.4
414533,73239,Inactive,282,,,50,24.65,2,11.9
414534,81462,Inactive,282,,,50,24.8,2,5.4
414535,274132,Inactive,278,,,50,20.9,2,3.2
414536,274133,Inactive,274,,,50,16.15,2,17.1
414537,274134,Inactive,282,,,50,24.65,2,3.7
414538,274135,Inactive,292,,,50,34.75,2,8.5
414540,274137,Inactive,268,,,50,10.15,2,25.1
414541,84923,Inactive,271,,,50,13.55,2,30.5
414542,274138,Inactive,264,,,50,6.65,2,22.7
414543,274139,Inactive,296,,,50,38.8,2,6
414544,274140,Inactive,255,,,50,-3.55,2,6.9
414545,274141,Inactive,244,,,50,-14.55,2,0.1
414546,274142,Inactive,222,,,50,-36.15,2,7.5
414547,5381615,Inactive,219,,,50,-39.1,2,5.6
414548,274145,Inactive,271,,,50,13.15,2,13.7
414549,274146,Inactive,233,,,50,-25.9,2,0
414550,274147,Inactive,267,,,50,9.3,2,13.2
414551,6399642,Inactive,258,,,50,-0.4,2,2
414552,274149,Inactive,249,,,50,-9.95,2,10.3
414553,9562406,Inactive,237,,,50,-21.2,2,9
414554,274151,Inactive,272,,,50,14.5,2,4.6
414555,274152,Inactive,258,,,50,0.3,2,6.8
414556,274153,Inactive,232,,,50,-26.45,2,3.1
414557,224661,Inactive,309,,,50,51.45,2,3.1
414558,274154,Inactive,264,,,50,6.7,2,14.2
414559,274155,Inactive,241,,,50,-17.3,2,16
414562,274157,Inactive,271,,,50,13.8,2,24.2
414563,229266,Inactive,272,,,50,14.45,2,16.7
414573,274160,Inactive,308,,,50,50.6,2,68.4
414574,274161,Inactive,258,,,50,0.95,2,30.7
414577,274164,Inactive,258,,,50,-0.4,2,35.6
414588,274172,Inactive,324,,,50,66.4,2,2.4
414589,274173,Inactive,318,,,50,60.7,2,14
414594,274178,Inactive,263,,,50,5.2,2,15.6
414595,274179,Inactive,276,,,50,18.35,2,15.3
414597,274181,Inactive,268,,,50,10.05,2,20.7
414598,274182,Inactive,262,,,50,4.4,2,13
414600,274184,Inactive,255,,,50,-3.25,2,14.7
414603,274186,Inactive,294,,,50,36.6,2,0.2
414605,274188,Inactive,261,,,50,3.4,2,6
414606,274189,Inactive,262,,,50,4.6,2,30
414617,,Inactive,291,,,50,33.85,2,16.3
414618,54723761,Active,335,,,50,77.05,2,5.3
414620,,Inactive,280,,,50,22.8,2,15.8
414621,,Inactive,263,,,50,5.55,2,28.7
414622,,Active,357,,,50,99.2,2,0
414623,54606303,Inactive,258,,,50,0.05,2,4.9
414624,4026345,Inactive,247,,,50,-11.3,2,19.2
414626,22524768,Inactive,258,,,50,0.95,2,4.7
414627,5673495,Active,348,,,5,90,2,4
414638,9568528,Inactive,277,,,50,19.25,2,2.9
414642,54610335,Inactive,265,,,50,7.25,2,40.5
414667,274241,Active,357,,,50,99.1,2,0.2
414671,271755,Inactive,263,,,50,5.6,2,22.2
414673,90509,Inactive,250,,,50,-8.6,2,9.2
414679,274252,Inactive,309,,,50,51.9,2,4.8
414680,274253,Inactive,274,,,50,16.1,2,9.8
414681,274254,Inactive,246,,,50,-12.15,2,3.7
414702,274274,Active,357,,,5,99,2,0
414709,274281,Inactive,235,,,50,-23.45,2,20.5
414710,274282,Inactive,269,,,50,11.3,2,11.6
414714,274286,Inactive,287,,,50,29.25,2,73.5
414716,97387,Inactive,277,,,50,19.85,2,68.1
414721,274291,Inactive,260,,,50,2,2,71
414724,274294,Inactive,247,,,50,-11.45,2,7.5
414727,274297,Inactive,267,,,5,9,2,0
414731,6070730,Inactive,266,,,50,8.35,2,16.3
414732,5864045,Inactive,270,,,50,12.7,2,30.4
414733,274303,Inactive,245,,,50,-13.35,2,8.7
414734,274304,Inactive,268,,,50,10.3,2,13.6
414735,274305,Inactive,258,,,50,-0.2,2,21
414736,274306,Inactive,260,,,50,2.1,2,24.8
414737,274307,Inactive,231,,,50,-27.45,2,4.5
414739,274309,Inactive,248,,,50,-10.05,2,10.7
414740,274310,Inactive,250,,,50,-8.85,2,5.3
414741,274311,Inactive,273,,,50,15.5,2,59
414743,274313,Inactive,264,,,50,6.15,2,39.1
414745,274315,Active,353,,,50,95.9,2,0.4
414750,274320,Inactive,250,,,50,-8.15,2,15.7
414753,274323,Inactive,271,,,50,13,2,7.2
414765,274332,Inactive,263,,,50,5.35,2,10.9
414766,274333,Inactive,321,,,50,63.7,2,5.2
414767,6925004,Inactive,267,,,50,9.35,2,18.7
414768,3547214,Inactive,242,,,50,-16.2,2,2.8
414769,4211710,Inactive,269,,,50,11.45,2,20.7
414770,274337,Inactive,268,,,50,10.95,2,0.9
414771,5866843,Inactive,231,,,50,-27.8,2,10.8
414772,9562409,Inactive,268,,,50,10.1,2,10.4
414773,97389,Inactive,266,,,50,8.25,2,15.1
414774,274340,Inactive,241,,,50,-17.25,2,7.9
414776,274342,Inactive,243,,,50,-15.3,2,22.6
414781,274346,Inactive,236,,,50,-22.05,2,2.3
414784,274348,Inactive,232,,,50,-26.2,2,2
414785,274349,Inactive,258,,,50,0.2,2,8.6
414787,274351,Inactive,286,,,50,28.35,2,6.1
414799,9568533,Active,352,,,5,94,2,1
414800,274363,Inactive,264,,,50,6.45,2,13.7
414803,274366,Active,356,,,5,98,2,0
414804,274367,Inactive,243,,,50,-15.25,2,5.1
414808,274371,Inactive,240,,,50,-18.85,2,4.7
414811,274373,Inactive,253,,,50,-5.55,2,5.5
414813,274375,Inactive,270,,,50,12.4,2,10.6
414814,274376,Inactive,256,,,50,-2.3,2,15.2
414815,54606362,Inactive,252,,,50,-6.1,2,19.4
414817,274379,Inactive,242,,,50,-16,2,6.4
414818,274380,Inactive,270,,,50,12.35,2,14.1
414819,274381,Inactive,280,,,50,22.6,2,21.8
414822,274384,Inactive,252,,,50,-6,2,37.8
414824,274386,Inactive,287,,,50,29.2,2,76.8
414825,77019,Inactive,243,,,50,-15.5,2,14.8
414826,8333,Inactive,246,,,50,-12.25,2,3.7
414827,274387,Inactive,276,,,50,18.6,2,11.6
414832,274391,Inactive,253,,,50,-5.05,2,7.7
414837,274395,Inactive,237,,,50,-21.45,2,12.5
414844,274401,Inactive,327,,,50,69.5,2,5.4
414846,274403,Active,339,,,5,81,2,1
414848,,Inactive,261,,,50,3.35,2,4.3
414862,274414,Inactive,267,,,50,9.15,2,13.3
414864,274415,Inactive,255,,,50,-3.95,2,17.3
414866,5954169,Inactive,242,,,50,-16.95,2,6.9
414871,274421,Inactive,241,,,50,-17.15,2,0.9
414882,5847058,Inactive,253,,,50,-5.1,2,40.2
414886,9562411,Inactive,244,,,50,-14.85,2,0.9
414888,274438,Inactive,254,,,50,-4.3,2,15
414892,274444,Inactive,245,,,50,-13.2,2,30.8
414893,9562412,Inactive,261,,,50,3.3,2,16
414894,274447,Inactive,254,,,50,-4.8,2,9.6
414895,274448,Inactive,250,,,50,-8.6,2,5.6
414896,274449,Inactive,273,,,50,15.3,2,39.4
414898,274450,Inactive,225,,,50,-33.95,2,26.9
414900,274452,Inactive,240,,,50,-18.45,2,24.3
414901,274453,Inactive,253,,,50,-5.6,2,0.4
414904,6415667,Inactive,238,,,50,-20.2,2,30.8
414907,274457,Inactive,239,,,50,-19.1,2,2.4
414913,274463,Inactive,247,,,50,-11.55,2,33.7
414920,6187177,Inactive,247,,,50,-11.3,2,0.6
414932,274478,Inactive,242,,,50,-16.35,2,3.5
414937,274483,Inactive,237,,,50,-21.55,2,40.7
414951,274492,Inactive,236,,,50,-22.5,2,21.2
414962,274501,Inactive,278,,,50,20.35,2,33.3
414965,274503,Inactive,264,,,50,6.35,2,12.1
414968,5893862,Inactive,250,,,50,-8.75,2,20.3
414969,274507,Inactive,261,,,50,3.25,2,29.1
414971,9655328,Inactive,280,,,50,22.1,2,2.2
414974,274511,Inactive,270,,,50,12.15,2,16.9
414975,274512,Inactive,270,,,50,12.55,2,14.3
414978,274515,Inactive,269,,,50,11.95,2,19.5
414988,5844331,Inactive,263,,,50,5.95,2,23.3
414990,274526,Inactive,275,,,50,17.4,2,11.4
414998,274533,Inactive,264,,,50,6.05,2,7.9
415004,274539,Inactive,273,,,50,15.7,2,9.4
415008,274543,Inactive,274,,,50,16.5,2,19.6
415009,274544,Inactive,262,,,50,4.75,2,11.5
415010,274545,Inactive,274,,,50,16,2,1
415011,274546,Inactive,242,,,50,-16.2,2,14.4
415012,274547,Inactive,257,,,50,-1.75,2,6.1
415013,97393,Inactive,267,,,50,9.1,2,10.4
415014,274548,Inactive,252,,,50,-6.5,2,16.8
415015,274549,Active,338,,,50,80.1,2,14.4
415016,274550,Inactive,289,,,50,31.45,2,24.1
415017,274551,Inactive,291,,,50,33.95,2,8.3
415019,274553,Inactive,260,,,50,2.85,2,5.9
415020,26097,Inactive,278,,,50,20.9,2,14.6
415021,274554,Inactive,247,,,50,-11.8,2,5.4
415022,274555,Inactive,297,,,50,39.95,2,10.3
415023,91346,Inactive,284,,,50,26.1,2,3.8
415024,274556,Inactive,268,,,50,10.95,2,7.5
415025,67002,Inactive,250,,,50,-8.4,2,2.2
415026,9568535,Inactive,251,,,50,-7.25,2,16.3
415027,274558,Inactive,266,,,50,8.65,2,11.7
415028,274559,Inactive,265,,,50,7.95,2,40.9
415029,274560,Inactive,293,,,50,35,2,25.4
415030,274561,Inactive,268,,,50,10.05,2,11.3
415031,274562,Inactive,299,,,50,41.65,2,16.9
415032,6710919,Inactive,283,,,50,25.2,2,17.4
415046,5351984,Inactive,326,,,50,68.55,2,31.9
415060,5458227,Inactive,243,,,50,-15.8,2,25.6
415062,5351986,Inactive,322,,,50,64.2,2,6
415078,274609,Inactive,232,,,50,-26.75,2,12.1
415081,274612,Inactive,256,,,50,-2.85,2,38.3
415083,274614,Inactive,248,,,50,-10.15,2,5.3
415085,274615,Inactive,235,,,50,-23.85,2,18.5
415088,136669,Inactive,304,,,5,46,2,10
415091,66898,Inactive,232,,,50,-26.05,2,30.5
415097,274622,Inactive,234,,,50,-24.1,2,25
415099,274623,Inactive,259,,,50,1.6,2,0.4
415106,274628,Inactive,241,,,50,-17.6,2,32.2
415111,6381876,Inactive,236,,,50,-22.1,2,21.6
415112,98398,Inactive,242,,,50,-16.15,2,11.9
415115,274634,Inactive,270,,,50,12.45,2,3.9
415117,274635,Inactive,233,,,50,-25.2,2,24.2
415118,5381658,Inactive,233,,,50,-25.85,2,32.1
415123,3034563,Inactive,237,,,50,-21.45,2,8.3
415132,274643,Inactive,268,,,50,10.75,2,1.7
415134,274646,Inactive,263,,,50,5.15,2,21.5
415135,5206756,Inactive,234,,,50,-24.15,2,26.9
415137,274648,Inactive,280,,,50,22.35,2,9.3
415140,274651,Inactive,243,,,50,-15.25,2,1.9
415143,274654,Inactive,252,,,50,-6.4,2,19.6
415149,274660,Inactive,274,,,50,16.3,2,0.6
415155,6525074,Inactive,268,,,50,10.55,2,15.1
415156,6181285,Inactive,248,,,50,-10.65,2,17.3
415157,274665,Inactive,243,,,50,-15.3,2,40.2
415160,274667,Inactive,245,,,50,-13.4,2,8.4
415162,274668,Inactive,302,,,50,44.1,2,20.6
415163,3033466,Inactive,283,,,50,25.5,2,6.2
415171,23876,Inactive,231,,,50,-27.05,2,34.5
415186,92225,Inactive,266,,,50,8.6,2,9.8
415192,5381670,Inactive,260,,,50,2.8,2,23.6
415196,274689,Inactive,253,,,50,-5.9,2,6.6
415200,5381675,Inactive,238,,,50,-20.75,2,23.3
415202,5381677,Inactive,271,,,50,13.65,2,26.3
415206,274695,Inactive,268,,,50,10.1,2,14.4
415209,274697,Inactive,271,,,50,13.65,2,4.5
415214,274700,Inactive,262,,,50,4.5,2,20
415224,3453885,Inactive,256,,,50,-2.7,2,0.2
415226,274710,Inactive,239,,,50,-19,2,24.4
415227,6419839,Inactive,274,,,50,16.8,2,12
415229,274714,Inactive,323,,,5,65,2,36
415240,274736,Inactive,258,,,50,-0.25,2,3.9
415258,274751,Inactive,250,,,50,-8.4,2,16.2
415260,3270368,Inactive,290,,,50,32.15,2,57.7
415263,274755,Inactive,260,,,50,2.85,2,29.7
415273,274764,Inactive,253,,,50,-5.45,2,21.5
415274,274765,Inactive,251,,,50,-7,2,37.4
415277,274768,Inactive,287,,,50,29.3,2,5.4
415278,274770,Inactive,272,,,50,14.05,2,12.9
415280,274773,Inactive,291,,,50,33.2,2,0.8
415285,274776,Inactive,250,,,50,-8.25,2,24.3
415291,3959176,Active,346,,,50,88.7,2,13.4
